date,sgv
2024-01-15T18:30:00,120
2024-01-15T18:35:00,118
2024-01-15T18:40:00,119
2024-01-15T18:45:00,121
2024-01-15T18:50:00,120
2024-01-15T18:55:00,122
2024-01-15T19:00:00,125
2024-01-15T19:05:00,130
2024-01-15T19:10:00,140
2024-01-15T19:15:00,155
2024-01-15T19:20:00,170
2024-01-15T19:25:00,182
2024-01-15T19:30:00,188
2024-01-15T19:35:00,192
2024-01-15T19:40:00,190
2024-01-15T19:45:00,185
2024-01-15T19:50:00,175
2024-01-15T19:55:00,165
2024-01-15T20:00:00,155
2024-01-15T20:05:00,145
2024-01-15T20:10:00,138
2024-01-15T20:15:00,132
